,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK
37,Credly.com,90,dofollow,При регистрации вместо имени указываем ключевые слова. В строчке BIO указываем фрагмент тематического текста небольшого объема. Сылку можно вставить в поле Website URL.,subdomains,both,30,1720,61933,1109,5705,10513,21255,23351,161845,197892.21,"(in, 50336)",42,52,89,44.05,68391,41830,27878,47633,20194,19080329,15281668,3798661,9975,10581083,5210,5214,1204524,1205767,,Полуавто
38,pastebin.com,87,dofollow,,subdomains,both,51,3057,22402,661,466,1410,7762,12103,144558,10287.86,"(us, 46876)",,,,,82946,41968,45532,66172,30439,28249718,10717506,17532212,2275,32558002,218,31450,22986,1727773,,Авто
39,camp-fire.jp,88,dofollow,,subdomains,both,46,2731,65077,1661,4320,7840,21876,29380,227832,59700.28,"(jp, 225931)",103,122,893,364.70,70433,46426,27689,52906,20081,8008524,6118864,1889660,3063,"1,21E+08",79593,79679,14507534,15577674,,Полуавто
40,jsfiddle.net,87,dofollow,,subdomains,both,47,3295,16918,282,934,1545,6063,8094,72467,16009.51,"(us, 17396)",,,,,45087,25428,22139,37951,18639,17987975,4211887,13776088,1613,16340918,575,579,512014,835569,,Полуавто
41,Telegra.ph,88,dofollow,Переходите на сайте и вставляете статью с анкорной ссылкой.,subdomains,both,46,2509,192744,471,4100,11398,59912,116863,30615,1767.56,"(ru, 10629)",,,,,179641,98322,104975,115818,46661,"3,91E+08","1,61E+08","2,30E+08",202468,10162754,202737,202738,35181186,35187011,,Авто
42,Livejournal.com,86,dofollow,"Известный многим сайт, который почему-то не так часто используется для ссылочного продвижения. Регистрируемся, подтверждаем почту и создаем собственный блог. Блог размещается на поддомене.",subdomains,both,38,4407,2278838,44859,169394,262647,797685,1004253,1719509,23646.44,"(ru, 1032117)",,,,,227872,149912,111234,145893,57758,"1,34E+08",94636290,39689959,154522,3,,1,,1,,Полуавто
43,Livejournal.com,86,dofollow,"Известный многим сайт, который почему-то не так часто используется для ссылочного продвижения. Регистрируемся, подтверждаем почту и создаем собственный блог. Блог размещается на поддомене.",subdomains,both,38,4407,2278838,44859,169394,262647,797685,1004253,1719509,23646.44,"(ru, 1032117)",,,,,227872,149912,111234,145893,57758,"1,34E+08",94636290,39689959,154522,3,,1,,1,,Полуавто
44,https://player.fm/,86,dofollow,"Регаем профиль, заполняем все поля, аватарки, генерим любым AI text2speech на свою тему и заливаем свои подкасты с околоссылочным описанием.,,Полуавто
Выглядит так: https://player.fm/series/scamfluencers/theres-something-about-martin-part-ii-4",subdomains,both,42,3884,204700,1080,9356,21128,62357,110779,84708,12757.16,"(us, 25227)",,,,,41466,32020,10008,30411,14186,3391881,3113902,277979,22984,"1,64E+08",182300,188736,29237067,29572723,,Полуавто
45,https://pca.st/,87,dofollow,"https://pca.st/ безанкор DF,,Полуавто
Регаемся, заполняем профиль + блок о себе тематический,,Полуавто
Выглядит так: https://pca.st/skitr2ok",subdomains,both,9,3300,239,,7,51,122,59,625,115.25,"(us, 589)",,,,,36458,25475,11603,27152,12762,5333548,4807480,526068,21900,529,161,161,2216,32971,,Полуавто
46,https://www.diigo.com/premium,86,dofollow,"Регаемся: https://www.diigo.com/premium,,Полуавто
Создаем заметку типа Note.,,Полуавто
Нажмите значок «+» и выберите «Примечание» (зеленый) в раскрывающемся списке.,,Полуавто
Тут вставить достаточно длинный тематический (можно ИИ) текст и в нем ссылки анкорные.,,Полуавто
,,
Получить URL заметки можно нажав кнопку ""поделиться"" и там Preview - там урлы на заметку.,,Полуавто
Их скинуть гулу, эти заметки он без проблем индексит и учитывает и текст и ссылки.",subdomains,both,13,4440,1464,31,59,101,396,877,19593,3051.89,"(in, 10911)",,,,,96817,42220,63389,69828,28336,32476832,23065136,9411696,7920,"2,06E+08",263159,299922,32664547,35946591,,Полуавто
47,wattpad.com,86,dofollow,"Нужно псевдокнижку с обложкой запосить и из ее описания поставить ссылку на ваш сайт.,,Полуавто
Нажмите «Написать» на верхней панели, выберите «Создать новую историю». Добавьте изображение обложки с водяным знаком вашего бренда/URL.,,Полуавто
Добавьте теги и выберите жанр. Добавьте заголовок и поместите свой контент в поле описания. Добавьте « ПОДРОБНЕЕ НА https://site.com» в любом месте содержимого. Они не разрешают ссылки кликабельные в тексте, но рекламу домена можно так постить.,,Полуавто
,,
Нажмите «Далее», и вы сможете скопировать и вставить содержимое, которое вы вставили в свое описание, в текстовый редактор. Снова добавьте обложку водяного знака. Добавьте заголовок.,,Полуавто
Щелкните значок с тремя точками в правом верхнем углу экрана. Добавьте внешнюю ссылку с вашим URL.,,Полуавто
И нажимайте опубликовать пост подтверждая запросы.",subdomains,both,29,4525,2477912,167148,304685,378636,934226,693217,23988881,946402.53,"(id, 2743672)",38,46,91,49.65,78439,43811,37044,55667,23545,17413820,12795498,4618322,9549,"1,02E+09",1463,3701,4636501,23130309,,Полуавто
48,wantedly.com,86,dofollow,,subdomains,both,17,4170,167280,11331,27004,27957,55182,45806,489872,436381.41,"(jp, 441181)",332,443,2065,4126.24,29572,17548,12919,30321,12211,11510245,9163093,2347152,502,19822714,46854,67032,1629011,2942679,,Полуавто
49,hashnode.com,84,dofollow,,subdomains,both,36,6677,2051,17,33,66,469,1466,7059,492.36,"(in, 5731)",,,,,40671,16087,26239,33772,14965,5044441,3220089,1824352,1019,29,4,6,85,88,,Полуавто
50,susanne-kaufmann.webador.com,90,Dofollow,статейная,subdomains,both,0,1647,,,,,,,,,,,,,,60111,54370,5888,8258,4412,1448195,1110028,338167,2493,1640503,7490,7884,146040,160041,,Полуавто
51,visual.ly,84,Dofollow,профиль,subdomains,both,45,5790,,,,,,,,,,,,,,45336,27928,18427,35182,16661,3516520,1576881,1939639,1255,47,,,,,,Полуавто
52,www.instapaper.com,84,dofollow,https://www.google.com/search?q=site%3Ahttps%3A%2F%2Fwww.instapaper.com%2Fp%2F,subdomains,both,44,6930,3126,27,29,126,1099,1845,10708,3212.14,"(in, 4145)",,,,,85465,36202,51872,67109,26397,24627479,12773748,11853731,8492,4203043,134126,134158,2549343,2550414,,Полуавто
53,support.advancedcustomfields.com/,84,dofollow,,subdomains,both,14,6788,1461,52,127,241,532,509,615,32.31,"(us, 260)",,,,,14302,8730,6111,13039,6665,567042,229890,337152,373,730740,175,791,340386,344882,,Полуавто
54,www.beatstars.com,83,dofollow,,subdomains,both,37,7848,21228,804,2631,3438,7061,7294,249019,28415.69,"(id, 88595)",8,12,29,13.65,47133,23372,25501,33566,14408,6546896,3328649,3218247,42865,1958731,2862,2986,308235,314156,,Полуавто
55,milkyway.cs.rpi.edu,83,dofollow,,subdomains,both,20,7827,396,8,55,64,192,77,1453,1829.38,"(us, 819)",,,,,48488,25198,24321,40883,20243,2351115,1376522,974593,1253,"1,07E+08",9391,10062,4689839,4932477,,Полуавто
56,pbase.com,83,dofollow,,subdomains,both,31,7909,57505,722,3576,7011,26105,20091,20515,2203.01,"(us, 11185)",,,,,84349,39238,49513,62944,27039,9360931,6947468,2413463,1856,"2,38E+08",98312,104161,15140949,15259806,,Полуавто
57,buddypress.org,83,Dofollow,профиль,subdomains,both,58,8584,1775,83,173,226,640,653,4015,3632.56,"(us, 1485)",,,,,19606,8595,11552,17311,8620,5496030,4850356,645674,195,20398082,259,11448,12862768,13134718,,Полуавто
58,https://www.f6s.com/,83,dofollow,,subdomains,both,38,8148,288621,2773,18571,46776,118509,101992,547973,66270.58,"(in, 84230)",,,,,30075,19159,11605,24375,11663,1576953,1408678,168275,480,83739720,52193,373884,8364509,10713239,,Полуавто
59,Codeigniter.com,83,dofollow,"Сразу переходим на страницу регистрации профиля по ссылке. Регистрируем аккаунт, подтверждаем почту и добавляем в профиль ссылку. После этого рекомендуется вставить описание для лучшей индексации страницы профиля.",subdomains,both,56,7388,5643,273,149,368,1652,3201,37495,4841.68,"(id, 14291)",,,,,27254,15432,12594,24457,11454,3060919,2120968,939951,165,"1,65E+08",84844,84844,18860137,18862334,,Полуавто
60,dnnsoftware.com,81,dofollow,https://www.google.com/search?q=site%3Ahttps%3A%2F%2Fwww.dnnsoftware.com%2F,subdomains,both,19,12888,2405,68,161,233,799,1144,3653,2532.38,"(us, 1079)",,,,,18299,9279,9744,17609,8148,27187830,26661299,526531,2302,35902642,9757,14134,2125633,2627031,,Полуавто
61,devnet.kentico.com,81,dofollow,,subdomains,both,24,11337,2466,55,229,291,904,987,5049,1057.18,"(in, 3700)",,,,,8262,4506,3920,7529,4530,3135973,2863302,272671,1018,27668929,5547,5593,7300996,7320779,,Полуавто
62,Teletype.in,82,dofollow,"После регистрации создаете свой блог, в котором публикуете статью с необходимой анкорной ссылкой.",subdomains,both,40,9771,106262,653,2238,5398,29595,68378,33789,1087.26,"(ru, 17420)",,,,,66586,23368,47467,50329,21207,7943829,5482088,2461741,1500,18196795,146695,147351,1580826,1666495,,Полуавто
63,Folkd.com,79,dofollow,"Сайт не требует регистрации, достаточно перейти на главную страницу и нажать на кнопку Add a new Link. Вставляем ссылку на сайт и ждем, через несколько секунд появится возможность оставить в качестве анкора Title страницы. Можем также вставить нужный анкор или оставить линк безанкорным.",subdomains,both,19,17937,540,9,53,122,254,102,2343,220.81,"(in, 1141)",,,,,40197,15753,26665,33068,14504,7897300,3818375,4078925,980,701011,15990,20446,88027,117937,,Авто
64,usfca.edu,80,Nofollow,,subdomains,both,31,14597,108949,3808,7607,10493,34972,52069,132011,111603.86,"(us, 93696)",57,80,64,316.22,20043,14725,5632,17403,9678,483026,401053,81973,80,3480922,8892,23260,2476909,2653553,,Полуавто
65,https://www.indiehackers.com/,80,Nofollow,профиль,subdomains,both,38,14380,19496,121,664,1413,7219,10079,14989,3513.63,"(in, 5580)",,,,,17310,7641,9981,13296,7103,1126264,993936,132328,4687,4233424,9726,39960,209583,495752,,Полуавто
66,elephantjournal.com,80,Dofollow,профиль,subdomains,both,21,14591,49342,337,1737,3459,13083,30726,8150,830.58,"(us, 5607)",,,,,40331,25868,18509,32028,14216,4233879,2729244,1504635,443,5512496,21924,23100,1213416,1510194,,Полуавто
67,Page.tl,79,Nofollow,статейная,subdomains,both,14,19172,19491,333,1299,2327,8562,6970,10998,1079.55,"(in, 1963)",,,,,27477,12580,15754,22304,11488,1797660,1290927,506733,2544,94607121,110210,152281,3591029,5003706,,Полуавто
68,List.ly,78,dofollow,Можно авторизоваться через Google почту и аккаунт. После авторизации переходит во вкладку Make a list и вписываем статью с безанкорной ссылкой. Размещение полностью бесплатное.,subdomains,both,35,19564,21978,50,345,810,6131,14642,8634,8704.15,"(in, 3062)",,,,,74541,25703,51527,54819,22094,16140600,9707087,6433513,978,12461161,147,155305,1087610,2811616,,Полуавто
69,Coub.com,79,dofollow,"Регистрируемся на сайте, после чего подтверждаем через почту. В информации о себе заполняем профиль с добавлением нужных ключей, добавляем ссылку в поле “Сайт”. Ссылка безанкорная.",subdomains,both,29,18660,39910,666,3199,5375,21771,8899,57465,4434.54,"(us, 19370)",,,,,61290,24615,39740,48806,21039,19518343,7827011,11691332,1903,"1,07E+08",64034,64035,10855853,12976838,,Полуавто
70,conifer.rhizome.org,78,dofollow,,subdomains,both,21,19461,13,,2,1,5,5,77,ноя.84,"(us, 73)",,,,,44987,20516,26625,32365,14728,4392668,1797072,2595596,206,89167,311,2714,1438,10234,,Полуавто
71,www.soundclick.com,78,Dofollow,профиль,subdomains,both,37,23347,22026,181,1123,2191,10920,7611,10060,1372.00,"(us, 6320)",,,,,20084,10106,10424,17313,8861,7762599,6574031,1188568,1809,69,,,,,,Полуавто
72,8tracks.com,77,Nofollow,профиль,subdomains,both,43,25671,21,5,4,,9,3,1237,109.85,"(ca, 464)",,,,,33193,13370,20594,27870,12937,2662789,1261426,1401363,858,8,,,,,,Полуавто
73,Penzu.com,78,dofollow,"При регистрации указываем актуальные данные (почта, имя, пароль), подбираем дизайн сайта и его цветовое оформление. После размещения статьи со ссылкой сохраняем ее через кнопку “Save” и по клику на троеточие нажимаем кнопку “Share” - “Share via Public link”. Таким образом мы получаем ссылку на нашу статью.",subdomains,both,38,19661,7349,612,744,779,2011,3203,47657,11428.19,"(us, 19665)",,,,,73326,26750,53146,52563,21850,7617200,4769241,2847959,5221,2560,45,48,260,382,,Полуавто
74,metal-archives.com,77,dofollow,,subdomains,both,24,24156,82945,4516,8680,11061,29595,29093,141396,16505.02,"(us, 53312)",,,,,44125,18635,28761,37135,16543,3953175,2192194,1760981,1421,53792145,15071,15076,1412249,2335194,,Полуавто
75,blog.b92.net,77,dofollow,,subdomains,both,21,28161,9,,,,7,2,1,,"(rs, 1)",,,,,14782,11323,4087,13621,6759,58490817,57820965,669852,6484,"2,91E+08",8750,8832,36252591,37314411,,Полуавто
76,Bloggersdelight.dk,77,dofollow,"Сайт на датском языке, поэтому используйте при необходимости переводчик. После регистрации попадаем в панель управления блогом, которая напоминает WP. Создаем новую запись и публикуем статью со ссылкой.",subdomains,both,25,27245,29607,115,646,1730,9998,17118,4246,232.78,"(dk, 4161)",,,,,50498,16164,36758,40677,16493,4806066,3513645,1292421,375,103,1,1,16,16,,Полуавто
77,artistecard.com,75,dofollow,,subdomains,both,20,36943,2579,42,246,377,1161,753,2366,419.64,"(id, 1686)",,,,,28208,8979,19798,24625,10936,4005642,3228990,776652,1128,21163472,63644,63658,6830992,6834710,,Полуавто
78,fundable.com,76,dofollow,,subdomains,both,26,30011,4958,171,511,713,1689,1874,30085,13385.40,"(pk, 10108)",,,,,40380,14725,26801,33822,14476,6141575,4202339,1939236,555,1043980,44783,44790,898824,899444,,Полуавто
79,Longisland.com,76,dofollow,"Безанкорная ссылка, которую можно оставить перейдя в раздел “Edit Profile” после регистрации аккаунта. В поле “About Me” вставляете контент, а в поле “Website” ссылку на продвигаемый сайт.",subdomains,both,22,30332,42226,1157,1753,2740,12839,23737,33488,12096.74,"(us, 33365)",,,,,59312,22082,39127,47533,20488,8926501,3522422,5404079,2209,5227673,816,828,123174,176891,,Полуавто
80,apsense.com,76,dofollow,,subdomains,both,15,31762,28017,27,326,742,6368,20554,2689,2307.57,"(in, 1725)",,,,,29483,11489,18747,24520,10612,2099421,1780767,318654,518,3297840,9931,26786,23845,98516,,Полуавто
81,suffolk.edu,76,Nofollow,,subdomains,both,27,29304,48219,1303,2287,4509,17488,22632,57723,33377.43,"(us, 45943)",18,26,24,105.19,16589,11194,5692,16665,7728,1503588,1438756,64832,116,1779085,5254,111466,1307464,1651933,,Полуавто
